Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-03-15 - Predators 4, Lightning 1",45.983333333333,35.0,34.69,4.76,97.06,1.018,Central
"2021-03-15 - Predators 4, Lightning 1",45.983333333333,65.0,65.31,2.94,95.24,0.982,Central
"2021-03-16 - Hurricanes 2, Red Wings 4",43.366666666667,63.77,50.0,3.57,93.33,0.969,Central
"2021-03-16 - Hurricanes 2, Red Wings 4",43.366666666667,36.23,50.0,6.67,96.43,1.031,Central
"2021-03-16 - Lightning 4, Stars 3",51.133333333333,43.37,39.39,0.0,92.86,0.929,Central
"2021-03-16 - Lightning 4, Stars 3",51.133333333333,56.63,60.61,7.14,100.0,1.071,Central
"2021-03-18 - Blackhawks 2, Lightning 4",49.016666666667,43.55,40.48,0.0,90.0,0.9,Central
"2021-03-18 - Blackhawks 2, Lightning 4",49.016666666667,56.45,59.52,10.0,100.0,1.1,Central
"2021-03-18 - Blue Jackets 3, Hurricanes 2",52.766666666667,53.85,58.54,5.0,90.91,0.959,Central
"2021-03-18 - Blue Jackets 3, Hurricanes 2",52.766666666667,46.15,41.46,9.09,95.0,1.041,Central
"2021-03-18 - Predators 2, Panthers 1",50.3,60.64,59.52,2.94,91.3,0.942,Central
"2021-03-18 - Predators 2, Panthers 1",50.3,39.36,40.48,8.7,97.06,1.058,Central
"2021-03-18 - Stars 2, Red Wings 3",47.533333333333,57.33,57.89,3.23,85.71,0.889,Central
"2021-03-18 - Stars 2, Red Wings 3",47.533333333333,42.67,42.11,14.29,96.77,1.111,Central
"2021-03-20 - Blackhawks 1, Lightning 4",42.933333333333,55.56,55.32,4.35,91.67,0.96,Central
"2021-03-20 - Blackhawks 1, Lightning 4",42.933333333333,44.44,44.68,8.33,95.65,1.04,Central
"2021-03-20 - Blue Jackets 3, Hurricanes 2",52.116666666667,57.0,65.79,6.25,95.83,1.021,Central
"2021-03-20 - Blue Jackets 3, Hurricanes 2",52.116666666667,43.0,34.21,4.17,93.75,0.979,Central
"2021-03-20 - Predators 0, Panthers 2",40.566666666667,56.25,64.86,3.45,100.0,1.034,Central
"2021-03-20 - Predators 0, Panthers 2",40.566666666667,43.75,35.14,0.0,96.55,0.966,Central
"2021-03-20 - Stars 3, Red Wings 0",49.8,59.77,70.0,7.41,100.0,1.074,Central
"2021-03-20 - Stars 3, Red Wings 0",49.8,40.23,30.0,0.0,92.59,0.926,Central
"2021-03-21 - Panthers 3, Lightning 5",39.85,46.55,46.15,5.56,80.0,0.856,Central
"2021-03-21 - Panthers 3, Lightning 5",39.85,53.45,53.85,20.0,94.44,1.144,Central
"2021-03-21 - Predators 4, Stars 3",52.833333333333,55.81,52.63,12.0,88.89,1.009,Central
"2021-03-21 - Predators 4, Stars 3",52.833333333333,44.19,47.37,11.11,88.0,0.991,Central
"2021-03-22 - Hurricanes 3, Blue Jackets 0",49.733333333333,52.56,63.33,12.0,100.0,1.12,Central
"2021-03-22 - Hurricanes 3, Blue Jackets 0",49.733333333333,47.44,36.67,0.0,88.0,0.88,Central
"2021-03-23 - Lightning 2, Stars 1",49.45,41.46,41.38,0.0,95.0,0.95,Central
"2021-03-23 - Lightning 2, Stars 1",49.45,58.54,58.62,5.0,100.0,1.05,Central
"2021-03-23 - Panthers 2, Blackhawks 3",51.333333333333,51.52,55.77,7.14,96.15,1.033,Central
"2021-03-23 - Panthers 2, Blackhawks 3",51.333333333333,48.48,44.23,3.85,92.86,0.967,Central
"2021-03-23 - Red Wings 0, Predators 2",49.033333333333,47.25,44.12,0.0,96.88,0.969,Central
"2021-03-23 - Red Wings 0, Predators 2",49.033333333333,52.75,55.88,3.13,100.0,1.031,Central
"2021-03-25 - Hurricanes 4, Blue Jackets 3",48.433333333333,46.88,38.18,10.0,96.88,1.069,Central
"2021-03-25 - Hurricanes 4, Blue Jackets 3",48.433333333333,53.13,61.82,3.13,90.0,0.931,Central
