Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-03-04 - Jets 4, Canadiens 3",53.183333333333,43.75,51.35,15.0,96.0,1.11,North
"2021-03-04 - Maple Leafs 1, Canucks 3",52.066666666667,47.73,57.89,4.35,92.59,0.969,North
"2021-03-04 - Maple Leafs 1, Canucks 3",52.066666666667,52.27,42.11,7.41,95.65,1.031,North
"2021-03-04 - Senators 3, Flames 7",49.25,47.5,43.59,28.0,92.0,1.2,North
"2021-03-04 - Senators 3, Flames 7",49.25,52.5,56.41,8.0,72.0,0.8,North
"2021-03-06 - Flames 2, Oilers 3",50.0,45.45,53.85,3.57,89.29,0.929,North
"2021-03-06 - Flames 2, Oilers 3",50.0,54.55,46.15,10.71,96.43,1.071,North
"2021-03-06 - Jets 1, Canadiens 7",54.416666666667,49.48,47.62,25.93,100.0,1.259,North
"2021-03-06 - Jets 1, Canadiens 7",54.416666666667,50.52,52.38,0.0,74.07,0.741,North
"2021-03-06 - Maple Leafs 2, Canucks 4",54.316666666667,57.52,58.49,5.41,92.0,0.974,North
"2021-03-06 - Maple Leafs 2, Canucks 4",54.316666666667,42.48,41.51,8.0,94.59,1.026,North
"2021-03-07 - Senators 4, Flames 3",41.266666666667,62.5,62.86,10.53,85.71,0.962,North
"2021-03-07 - Senators 4, Flames 3",41.266666666667,37.5,37.14,14.29,89.47,1.038,North
"2021-03-08 - Canadiens 1, Canucks 2",51.166666666667,60.42,60.0,0.0,100.0,1.0,North
"2021-03-08 - Canadiens 1, Canucks 2",51.166666666667,39.58,40.0,0.0,100.0,1.0,North
"2021-03-08 - Senators 2, Oilers 3",47.65,52.25,55.36,6.25,92.0,0.983,North
"2021-03-08 - Senators 2, Oilers 3",47.65,47.75,44.64,8.0,93.75,1.018,North
"2021-03-09 - Jets 4, Maple Leafs 3",49.633333333333,62.35,72.73,3.13,84.21,0.873,North
"2021-03-09 - Jets 4, Maple Leafs 3",49.633333333333,37.65,27.27,15.79,96.88,1.127,North
"2021-03-10 - Canadiens 5, Canucks 1",45.133333333333,65.31,76.0,10.81,100.0,1.108,North
"2021-03-10 - Canadiens 5, Canucks 1",45.133333333333,34.69,24.0,0.0,89.19,0.892,North
"2021-03-10 - Senators 1, Oilers 7",51.8,51.16,55.81,17.24,95.24,1.125,North
"2021-03-10 - Senators 1, Oilers 7",51.8,48.84,44.19,4.76,82.76,0.875,North
"2021-03-11 - Canadiens 1, Flames 2",50.066666666667,62.5,58.54,8.7,93.33,1.02,North
"2021-03-11 - Canadiens 1, Flames 2",50.066666666667,37.5,41.46,6.67,91.3,0.98,North
"2021-03-11 - Jets 3, Maple Leafs 4",54.683333333333,63.73,69.64,9.38,91.67,1.01,North
"2021-03-11 - Jets 3, Maple Leafs 4",54.683333333333,36.27,30.36,8.33,90.63,0.99,North
"2021-03-12 - Senators 2, Oilers 6",49.883333333333,49.52,56.0,16.13,95.83,1.12,North
"2021-03-12 - Senators 2, Oilers 6",49.883333333333,50.48,44.0,4.17,83.87,0.88,North
"2021-03-13 - Canadiens 1, Flames 3",49.516666666667,58.54,64.86,7.41,100.0,1.074,North
"2021-03-13 - Canadiens 1, Flames 3",49.516666666667,41.46,35.14,0.0,92.59,0.926,North
"2021-03-13 - Jets 5, Maple Leafs 2",48.7,42.86,43.75,6.25,87.5,0.938,North
"2021-03-13 - Jets 5, Maple Leafs 2",48.7,57.14,56.25,12.5,93.75,1.063,North
"2021-03-13 - Oilers 1, Canucks 2",50.1,53.19,58.97,0.0,95.0,0.95,North
"2021-03-13 - Oilers 1, Canucks 2",50.1,46.81,41.03,5.0,100.0,1.05,North
"2021-03-14 - Maple Leafs 3, Senators 4",47.416666666667,45.36,45.1,13.04,96.0,1.09,North
"2021-03-14 - Maple Leafs 3, Senators 4",47.416666666667,54.64,54.9,4.0,86.96,0.91,North
"2021-03-15 - Canadiens 4, Jets 2",51.583333333333,46.6,46.81,8.7,100.0,1.087,North
"2021-03-15 - Canadiens 4, Jets 2",51.583333333333,53.4,53.19,0.0,91.3,0.913,North
"2021-03-15 - Canucks 3, Senators 2",47.183333333333,59.65,59.68,2.38,92.31,0.947,North
"2021-03-15 - Canucks 3, Senators 2",47.183333333333,40.35,40.32,7.69,97.62,1.053,North
"2021-03-15 - Oilers 3, Flames 4",50.15,50.0,50.0,16.0,86.96,1.03,North
"2021-03-15 - Oilers 3, Flames 4",50.15,50.0,50.0,13.04,84.0,0.97,North
"2021-03-17 - Canadiens 3, Jets 4",49.466666666667,61.39,57.45,6.67,88.0,0.947,North
"2021-03-17 - Canadiens 3, Jets 4",49.466666666667,38.61,42.55,12.0,93.33,1.053,North
"2021-03-17 - Canucks 3, Senators 2",52.0,61.32,62.5,7.69,92.31,1.0,North
"2021-03-17 - Canucks 3, Senators 2",52.0,38.68,37.5,7.69,92.31,1.0,North
"2021-03-17 - Oilers 7, Flames 3",50.633333333333,58.97,61.36,7.69,81.82,0.895,North
"2021-03-17 - Oilers 7, Flames 3",50.633333333333,41.03,38.64,18.18,92.31,1.105,North
"2021-03-18 - Jets 1, Oilers 2",54.35,48.15,51.52,10.0,95.24,1.052,North
"2021-03-18 - Jets 1, Oilers 2",54.35,51.85,48.48,4.76,90.0,0.948,North
"2021-03-19 - Canucks 3, Canadiens 2",50.0,53.85,57.14,0.0,92.0,0.92,North
"2021-03-19 - Canucks 3, Canadiens 2",50.0,46.15,42.86,8.0,100.0,1.08,North
"2021-03-19 - Flames 4, Maple Leafs 3",47.983333333333,35.0,23.68,23.08,85.71,1.088,North
"2021-03-19 - Flames 4, Maple Leafs 3",47.983333333333,65.0,76.32,14.29,76.92,0.912,North
"2021-03-20 - Canucks 4, Canadiens 5",56.85,67.96,77.08,8.82,76.92,0.857,North
"2021-03-20 - Canucks 4, Canadiens 5",56.85,32.04,22.92,23.08,91.18,1.143,North
"2021-03-20 - Flames 0, Maple Leafs 2",44.016666666667,45.35,39.02,0.0,91.67,0.917,North
"2021-03-20 - Flames 0, Maple Leafs 2",44.016666666667,54.65,60.98,8.33,100.0,1.083,North
"2021-03-20 - Jets 2, Oilers 4",48.566666666667,60.0,70.83,10.34,96.0,1.063,North
"2021-03-20 - Jets 2, Oilers 4",48.566666666667,40.0,29.17,4.0,89.66,0.937,North
"2021-03-22 - Flames 1, Senators 2",52.05,59.78,51.35,3.23,90.48,0.937,North
"2021-03-22 - Flames 1, Senators 2",52.05,40.22,48.65,9.52,96.77,1.063,North
"2021-03-22 - Jets 4, Canucks 0",56.0,47.79,42.86,0.0,85.71,0.857,North
"2021-03-22 - Jets 4, Canucks 0",56.0,52.21,57.14,14.29,100.0,1.143,North
"2021-03-24 - Flames 1, Senators 3",48.2,56.0,52.78,4.35,92.0,0.963,North
"2021-03-24 - Flames 1, Senators 3",48.2,44.0,47.22,8.0,95.65,1.037,North
"2021-03-24 - Jets 5, Canucks 1",48.766666666667,62.11,62.22,3.13,91.3,0.944,North
"2021-03-24 - Jets 5, Canucks 1",48.766666666667,37.89,37.78,8.7,96.88,1.056,North
"2021-03-25 - Maple Leafs 3, Senators 2",49.55,40.0,37.25,4.17,94.12,0.983,North
"2021-03-25 - Maple Leafs 3, Senators 2",49.55,60.0,62.75,5.88,95.83,1.017,North
"2021-03-26 - Jets 3, Flames 2",45.383333333333,53.85,44.44,0.0,95.24,0.952,North
"2021-03-26 - Jets 3, Flames 2",45.383333333333,46.15,55.56,4.76,100.0,1.048,North
"2021-03-27 - Jets 2, Flames 4",48.8,65.0,61.76,10.34,86.67,0.97,North
"2021-03-27 - Jets 2, Flames 4",48.8,35.0,38.24,13.33,89.66,1.03,North
"2021-03-27 - Oilers 3, Maple Leafs 4",53.9,43.21,34.21,16.67,86.96,1.036,North
"2021-03-27 - Oilers 3, Maple Leafs 4",53.9,56.79,65.79,13.04,83.33,0.964,North
"2021-03-29 - Jets 5, Flames 1",47.416666666667,52.17,55.88,0.0,78.26,0.783,North
"2021-03-29 - Jets 5, Flames 1",47.416666666667,47.83,44.12,21.74,100.0,1.217,North
"2021-03-29 - Oilers 3, Maple Leafs 2",56.0,43.96,36.73,10.0,93.33,1.033,North
"2021-03-29 - Oilers 3, Maple Leafs 2",56.0,56.04,63.27,6.67,90.0,0.967,North
"2021-03-30 - Oilers 0, Canadiens 4",45.933333333333,34.67,22.86,0.0,86.21,0.862,North
"2021-03-30 - Oilers 0, Canadiens 4",45.933333333333,65.33,77.14,13.79,100.0,1.138,North
"2021-03-31 - Maple Leafs 3, Jets 1",41.966666666667,44.29,55.88,11.76,100.0,1.118,North
"2021-03-31 - Maple Leafs 3, Jets 1",41.966666666667,55.71,44.12,0.0,88.24,0.882,North
"2021-04-01 - Canadiens 4, Senators 1",51.883333333333,60.22,54.05,8.57,100.0,1.086,North
"2021-04-01 - Canadiens 4, Senators 1",51.883333333333,39.78,45.95,0.0,91.43,0.914,North
"2021-04-02 - Flames 2, Oilers 3",46.766666666667,55.56,66.67,10.0,94.74,1.047,North
"2021-04-02 - Flames 2, Oilers 3",46.766666666667,44.44,33.33,5.26,90.0,0.953,North
"2021-04-02 - Maple Leafs 2, Jets 1",52.0,50.5,48.21,3.33,96.15,0.995,North
"2021-04-02 - Maple Leafs 2, Jets 1",52.0,49.5,51.79,3.85,96.67,1.005,North
"2021-04-03 - Senators 6, Canadiens 3",47.583333333333,55.56,50.0,8.33,86.96,0.953,North
"2021-04-03 - Senators 6, Canadiens 3",47.583333333333,44.44,50.0,13.04,91.67,1.047,North
"2021-04-04 - Maple Leafs 4, Flames 2",52.066666666667,53.76,46.81,7.14,86.67,0.938,North
"2021-04-04 - Maple Leafs 4, Flames 2",52.066666666667,46.24,53.19,13.33,92.86,1.062,North
"2021-04-05 - Maple Leafs 5, Flames 3",50.0,53.93,56.86,8.0,82.61,0.906,North
"2021-04-05 - Maple Leafs 5, Flames 3",50.0,46.07,43.14,17.39,92.0,1.094,North
"2021-04-05 - Oilers 2, Canadiens 3",51.25,36.71,27.5,6.67,92.59,0.993,North
"2021-04-05 - Oilers 2, Canadiens 3",51.25,63.29,72.5,7.41,93.33,1.007,North
"2021-04-05 - Senators 3, Jets 4",44.566666666667,34.44,29.27,14.29,91.67,1.06,North
"2021-04-05 - Senators 3, Jets 4",44.566666666667,65.56,70.73,8.33,85.71,0.94,North
"2021-04-07 - Canadiens 2, Maple Leafs 3",50.416666666667,50.47,40.68,3.45,89.66,0.931,North
"2021-04-07 - Canadiens 2, Maple Leafs 3",50.416666666667,49.53,59.32,10.34,96.55,1.069,North
